username,comment,
@slametchannel1750,"kupilih engkau disaat pilpres pak, semoga di kesempatan yg lain nya engkau bisa di takdir kan menjadi pemimpin selanjutnya.",
@kasmirginting5345,"...mendengar 'khotbah' pak Machfud rasanya adem dan dan mencerahkan, tkasih pak Machfud, semoga sehat terus...,",
@cholish812,Buat para Akademisi bicaralah dg hati nurani dan jangan ada tendensi..!!,
@AndiJepara-r1u,Sehat jasmani dan rohani pak Mahfud MD,
@ahmadzali1572,SAYA INGIN MENCINTAI INDONESIA PAK TAPI HATI INI SUDAH PENUH LUKA DENGAN TINGKAH LAKU PEJABATNYA.. PEMERINTAH SELALU MENYAKITI HATI RAKYATNYA,
@bladestromm,Makasih Prof. Mahfud. Semoga sehat selalu dan senantiasa dlm lindungan Tuhan,
@hajihidayat5716,Betul kata alm Gus Dur sebaiknya DPR di bubarkan kaya anak TK,
@Anakparapejuang,"AYOK kita dikung pak mahfud,supaya masuk ke kabinet prabowo,saya lbih setuju dia gantikan puan",
@adimusayidi165,Mari bersatu desak DPR sahkan UU perampasan aset bagi koruptor... Elit politik partai smua kompromi garong duit rakyat... Logika,
@iwaniwan326,Kuliah gratis bersama prof. Mahfud,
@Dedinugraha-d4q4h,salam sehat selalu pak Mahfud MD,
@Rill_Asli,"Sehat² Prof Mahfud sekeluarga, do'akan kaum muda bisa membawa negara k era yg lebih baik juga ya Prof",
@bagusulinuha5889,Dewan Perwakilan Rakyat tapi tidak mewakili rakyat,
@carajahit12,"Alhamdulillah INDONESIA punya pak MAHFUD MD, penjelasannya sangat cerah sekali,ril Banget kalau korupsi pasti keluarga akan berantakan, mudahan kami dijauhkan dengan korupsi",
@HendraSaputra-e3r,Nyimak Prooff,
@andriesabraham1569,"Terima kasih pak mahfud.. sehat selalu Prof mahfud.. sosok bapak, pengajar, intelektual, dan tokoh agama.... Tuhan memberkati ya Prof",
